事業所名,事業種別,事業内容,事業所所在地,電話番号,PR,adress,lon,lat
事業所（店舗等）名,事業種別,事業内容,事業所所在地,電話番号,PR・オトク情報,神奈川県相模原市中央区事業所所在地,139.3754694,35.5559466
GOGO,飲食業,"お酒飲みながら色んなつまみもたべながらカラオケも
歌える。
アットホームな雰囲気です。",相生3-4-20,080-4719-8855,NA,神奈川県相模原市中央区相生3-4-20,139.3821911,35.56261720000001
U-Select相模原中央,小売業,"自動車(中古車)の販売、車検、点検、整備、修理をし
ています。
Honda正規ディーラー
その他に、電動車いす(WHILL)の販売も行っていま
す。",相生2-1-1,042-751-6300,NA,神奈川県相模原市中央区相生2-1-1,139.3896132,35.565175
うなぎ処いわき,飲食業,飲食業,相生2-16-6,042-756-2823,NA,神奈川県相模原市中央区相生2-16-6,139.3893355,35.5628791
（有）菅原塗装工房,その他,住宅塗装,相生3-13-10-1F-1,042-704-9949,NA,神奈川県相模原市中央区相生3-13-10-1F-1,139.3850749,35.561307
セブンイレブン相生店,小売業,コンビニエンスストア,相生4-1-15,042-756-4248,NA,神奈川県相模原市中央区相生4-1-15,139.3833443,35.5649938
せんざん相模原店,飲食業,和食、海鮮料理や和牛などを使った料理店,相生1-1,042-776-8588,NA,神奈川県相模原市中央区相生1-1,139.3864191,35.5665456
ソニック相模原,小売業,家電販売、電気設備工事,相生4-11-15,042-752-4005,お見積り無料　お気軽にご相談ください。,神奈川県相模原市中央区相生4-11-15,139.3811473,35.5635909
蕎麦とそばまえgenten,飲食業,"手打ち蕎麦屋です。美味しいそばまえと美味しい日本
酒もご用意しております。",相生1-1-18　1F,042-768-7578,NA,神奈川県相模原市中央区相生1-1-18　1F,139.3860667,35.5662861
パティスリーフレジェ,小売業,手作りケーキと焼き菓子のお店です。,相生3-14-14,042-759-4087,"手作りのケーキと焼き菓子のお店です。
お好きな写真で作るフォトケーキも販売中！くるくる丸
まったクッキーの”チュリング”は、さがみはらスイーツ
フェスティバルの受賞作品！ぜひご賞味ください。",神奈川県相模原市中央区相生3-14-14,139.3862262,35.5617682
ヘアーサロン セオ,サービス業,理容業 カット 顔剃り パーマ等,相生4-2-24,042-752-4541,NA,神奈川県相模原市中央区相生4-2-24,139.3829123,35.5651729
ホンダカーズ神奈川西 鹿沼台店,小売業,"自動車(新車)の販売、車検、点検、整備、修理をして
います。
Honda正規ディーラー
その他に、電動車いす(WHILL)の販売も行っていま
す。",相生1-1-22,042-752-1001,NA,神奈川県相模原市中央区相生1-1-22,139.3868121,35.5665504
"相模原市農業協同組合 農産物直売所「ベジ
たべーな」",小売業,旬の地元農産物が集まる農産物直売所です。,青葉3-1-1,042-851-3583,NA,神奈川県相模原市中央区青葉3-1-1,139.3911999,35.5504585
しあつ圭愉,サービス業,"女性の方だけのあん摩指圧マッサージ、整体を致しま
す。",青葉1-17-14,042-703-7222,"女性の方だけのあん摩指圧マッサージ、整体をいたし
ます。 
 市の割引券は、お使いになれません。",神奈川県相模原市中央区青葉1-17-14,139.3886609,35.5520462
ツノダ工販,小売業,NA,青葉1-1-3,042-756-8686,NA,神奈川県相模原市中央区青葉1-1-3,139.3892676,35.5521266
北相トラベル,サービス業,"相模原市内発のバスツアーと社員旅行･グループ旅
行･ご家族個人旅行を取り扱っています。",青葉1-3-1,042-755-9590,"バスツアー参加者にはちょっぴりプレゼント付。
グループ･社員旅行のお見積は迅速無料で対応致し
ます。",神奈川県相模原市中央区青葉1-3-1,139.3880572,35.5532623
まごころ弁当相模原中央店,飲食業,ご高齢者並びに幼児向け弁当配食サービス,青葉1-1-22,042-851-3468,"初回１回のみ無料試食 
 ホームページHP https://magokorobento.business.
site",神奈川県相模原市中央区青葉1-1-22,139.3877673,35.5539089
AKランドリーコーナン小山店,サービス業,クリーニング,小山3-37-1,042-774-6300,30円券1枚プレゼント,神奈川県相模原市中央区小山3-37-1,139.3564495,35.5830419
Crayon,サービス業,美容室,小山2-9-9,042-774-7046,NA,神奈川県相模原市中央区小山2-9-9,139.3581463,35.5841488
ECCジュニア小山3丁目教室,その他,英会話教室,小山3-14-11,042-772-2662,NA,神奈川県相模原市中央区小山3-14-11,139.3566493,35.5840683
Pleasure 〜Hair Relaxing〜,サービス業,"カット、パーマ、カラー、アイロンパーマ、縮毛矯正など
のメニューの他に、特許成分入りの育毛剤の販売、 
頭皮エステ、ヘッドスパ、フェイスエステ,パックなどの
オプションメニューも５００円〜用意しています。",小山1-3-1,042-770-4570,"初めてご来店のお客様に次回以降に使える、頭皮エ
ステクレンジングチケットをプレゼント致します。",神奈川県相模原市中央区小山1-3-1,139.3612628,35.5832512
アプローズ相模原小山店,サービス業,洋服直し,小山3-27-1コーナン小山モール1F,042-773-2274,NA,神奈川県相模原市中央区小山3-27-1コーナン小山モール1F,139.3558958,35.5864094
大貫ピアノ教室,その他,NA,小山4-2-14グランチェスター101,042-772-2553,NA,神奈川県相模原市中央区小山4-2-14グランチェスター101,139.3536751,35.5876891
（有）サガミカー工業,サービス業,"国認定の指定整備事業者（指定番号：2－1025)
自動車整備全般（車検・点検・修理・鈑金・塗装）
新、中古車販売",小山4-2-1,042-772-7674,NA,神奈川県相模原市中央区小山4-2-1,139.3551278,35.5871391
