"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"中央","まごころ弁当相模原清新店","飲食業","ご高齢者やご病気などで食事に配慮の必要な方向け
のお弁当を宅配しています。","中央5-7-23　メゾン美樹１階","042-810-0143","初回無料試食をご用意しています。実際に味や量など
をお確かめいただいて、ご納得してからご注文が可能
です。1食だけ、1回だけのお届けも承りますので、お
気軽にお申し付けください。"
"","ますみ・おんがく・きょうしつ","サービス業","ピアノ教室です。演奏はもちろん、即興演奏もレッスン
しています。","中央5-9-17 佐藤方","090-1053-3089",""
"","（株）ミキ","小売業","ギフト専門店としてカタログギフト、お中元、お歳暮、出
産・結婚祝い、内祝い等あらゆる贈るシーンにあわせ
た商品を販売しております。","中央2-7-13","042-757-2356",""
"","三㐂","飲食業","うなぎ・ふぐ・割烹","中央3-9-12","042-756-5318",""
"","モリーズガーデン","小売業","秋の花苗や球根など多数取り揃えております","中央4-2-6","042-752-2100","毎月15日は 
 モリーズガーデンサービスDAYです。 
 全品20%OFF！"
"","焼鳥はつらいよ桜並木","飲食業","炭火焼鳥と和牛もつ鍋のうまい店！","中央6-13-7","042-751-2126",""
"","焼肉本山","飲食業","鹿児島和牛の炭火焼肉屋です！","中央4-4-1","042-787-2215",""
"","湧泉指圧治療院","サービス業","指圧・マッサージ","中央4-8-3","042-758-5600","施術後にはコーヒーなどお出ししています。"
"","ら〜めん 村田屋","飲食業","ラーメン店","中央1-9-20","042-759-5585","特になし"
"","リンパケアサロンアイリー","サービス業","女性専門リンパケアサロン
肩こり・腰痛なら
お任せください","中央2-3-5ビジュー相模原903","090-8463-5271","現在リニューアルキャンペーン
リンパケア60分の施術
通常8800円が初回限り
3980円となります"
"千代田","AUTO☆ALPHA KOIDE","小売業","スズキのバイクをメインに販売、修理しております。
国内メーカーであればスズキ以外も修理対応は可能
です。","千代田1-2-14","042-752-3804","スズキメーカーキャンペーン実施店です。"
"","BUNseido","小売業","「文具のなる木」を取り囲む「文具の森」をテーマとし
て、 
さまざまな文具・事務用品の販売をしています","千代田6-1-18","042-752-1104","当店のポイントカード、実は100円で2ポイント貯まる超
お得なカードなんです！！しかも火曜日はポイント2倍
♪ 
この機会にぜひご利用ください。"
"","HairMake HIMURO","サービス業","カット　カラー　パーマ
まつ毛パーマ　眉カット
着付け　セットアップ　メイク　ブライダル　美容室","千代田1-6-2アスカマンション101","042-750-4616","新規お客様限定
ご予約にて全メニュー20%off"
"","Ｋ’ｓ Ｐｒｅｓｔ本店事業部","サービス業","古物商/リラグゼーション整体マッサージ/便利屋","千代田7-11-26メゾンイズミ1-1","042-855-8443","ご新規様大募集中です。"
"","RUNext（アールユーネクスト）","小売業","中古パソコン販売とiPhone修理のお店です。","千代田3丁目13-3ジュネス千代田103","042-707-8378","次回購入時５％ＯＦＦ"
"","Schritt","サービス業","美容室です。","千代田5-4-14ウインシミズ101","042-768-7681",""
"","イートカフェTetu","飲食業","たい焼、たこ焼、焼きそばを中心としてお酒のつまみも
充実しているお店です。","千代田1-1-1","042-856-1241",""
"","（有）大谷モータース","サービス業","自動車整備.自動車車検","千代田1-2-13","042-752-0406",""
"","絆道整体","その他","整体","千代田1-1-18","090-9363-7007 来店時にアロマオシボリをサービス",""
"","久保田書店","小売業","図書販売","千代田3-13-3ジュネス千代田101","042-752-1831","近隣のお客様へ一冊から配達致します。 
ご相談くださいませ。"
"","グリルフクヨシ相模原本店","飲食業","ハンバーグ&ステーキのご飯屋さん","千代田1-7-1 1F","042-730-2944",""
"","こむぎ","小売業","材料にこだわり、皆さまに“おいしい”を提供する創業
27年のパン屋です","千代田7-11-2","042-751-7123","39キャンペーン特設サイトを見たと伝えて頂いた方で
当店のメンバーカードの新規登録を希望する方、先着
200名様を登録無料にいたします。"
"","小料理ワイン しなの路","飲食業","手作り料理とソムリエ店主の手頃で美味しワイン
をカウンター席と座敷テーブルの店内で提供しており
ます。","千代田2-5-11","042-758-4889","ディナー（５時）より予約の二名様よりチーズバケット
サービス。"
"","さがみ野","小売業","マニフレックス製品、寝具販売、衣類、雑貨販売","千代田4-1-7","012-099-4440","マニフレックス製品を中心とした寝具店です。綿布団
の打ち直しやクリーニング等も行っており小さいながら
も明るくアットホームなお店です。"
"","相模原観光（株）","サービス業","相模原で55年の地域密着を目指した旅行会社です。","千代田2-1-16","042-753-1116",""
