"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"鵜野森","セブンイレブン相模原鵜野森3丁目店","小売業","コンビニエンスストア","鵜野森3-32-10","042-765-5517",""
"","美容舘HO-HO-HO","サービス業","美容院","鵜野森1-23-6","042-767-2588",""
"","ファミリーマート相模原鵜野森店","小売業","コンビニエンスストアー","鵜野森3-7-13","042-767-3330",""
"大野台","AKランドリー古淵店","サービス業","クリーニング","大野台1-3-12","042-752-2742","30円券1枚プレゼント"
"","AKランドリーニトリモール相模原店","サービス業","クリーニング","大野台6-1-1","042-752-0123","30円券1枚プレゼント"
"","AKランドリーフードワン大野台店","サービス業","クリーニング","大野台2-31-8","042-768-2733","30円券1枚プレゼント"
"","CUT STAGE SHOW","サービス業","美容院","大野台1-8-43大野台クレセント105","042-730-5813",""
"","ECCジュニア大野台カントリードリーム教室","その他","開講して今年で20年目です。
楽しい英語のレッスンを提供しています。","大野台5-27-30","042-733-5437",""
"","TABERNA MASSA","飲食業","から揚げからPaellaまで、色々なお料理やドリンクを
提供している飲食店です！！","大野台3-22-8","042-810-0229","お会計時、サンキューキャンペーンを利用しますとお
声がけ頂いた方に、ささやかながらプレゼントをご用
意しておきます！！"
"","（株）石田ハウジング","その他","建築工事全般、不動産業を行っています。","大野台6-15-17","042-758-4381","ご相談、現地調査、見積無料、成約時割引あり"
"","大村庵","飲食業","そば・うどん・丼物","大野台5-1-33","042-754-2391",""
"","おの寺園","小売業","お茶、食料品、パン、菓子、タバコ等","大野台7-5-9","042-754-4499","毎週火曜日土曜日その他祝日特売日その他毎回500
円で1個のスタンプ発行"
"","金沢屋 大野台店","サービス業","ふすま(襖)･あみど(網戸)･しょうじ(障子)･たたみ(畳)の
張替(張り替え)をしています。","大野台2-23-7","090-5565-1025","・家族経営の小さな工房ですが心を込めて作業いたし
ます。
・ワクチン接種済です感染予防を徹底しています。
・張替品の1年間保証します。"
"","クリーニング共和 大野台店","サービス業","クリーニング店","大野台1-22-14","042-758-4357",""
"","クリーニング林 二丁目店","サービス業","クリーニング店","大野台2-25-1","042-759-3067","月のサービス品（１０％OFF） 
 ポイント２倍デー 
 （詳しくはHPにてご確認ください）"
"","クリーニング林 四丁目店（本店）","サービス業","クリーニング業","大野台4-14-3","042-764-2036","月のサービス品（１０％OFF） 
 ポイント２倍デー 
 詳しくはHPをご覧下さい"
"","小出屋豆腐店","小売業","豆腐揚げ物製造販売","大野台2-23-8","042-751-2488",""
"","セブンイレブン相模原大野台6丁目店","小売業","コンビニエンスストア","大野台6-3-24","042-757-0337",""
"","（有）タチバナ工務店","その他","建築工事一式","大野台3-15-19","042-752-1350","お見積無料です。住宅のことなら何でもお気軽にご相
談下さい"
"","タムラ電気","小売業","家電品販売等、リフォームも含む","大野台6-8-19","042-756-4949",""
"","てんとうむし工房","小売業","自家製酵母と国産小麦のパンと焼き菓子、ジャム、国
産はちみつを販売しています","大野台5-2-31","042-707-8710","秋の味覚を使ったパンや焼き菓子を用意しています。"
"","とんかつ割烹松村","飲食業","とんかつはもちろん、おつまみも充実したお店です","大野台2-13-19","042-758-5229","とんかつはもちろん、お刺身など季節の食材を使いお
つまみも
充実させています。"
"","バーバーまつい","サービス業","理容業","大野台6-10-10","042-754-0502","特になし"
"","ファミリーマート細谷大野台店","小売業","コンビニエンスストア","大野台2-25‐3","042-756-7805",""
"","ブランドへアー ASAKAWA","サービス業","理美容室　男性、女性のカット、パーマ、カラーなど施
術 
高齢者や障がい者の在宅カット、お店での無料送迎な
どを 
行っています。","大野台4-7-7","042-753-1505","男性、女性のカット、パーマ、カラーなど施術 
高齢者や障がい者の在宅カット、お店での無料送迎な
どを 
行っています。 
ただいま期間限定で割引チケットなどをお配りしてい
ます。"
"","（有）細谷達司商店","小売業","お米、酒類、灯油、LPガス、ガス器具販売","大野台2-25‐3","042-752-8045",""
"","理容ユタカ","サービス業","理容業","大野台5-12-8","042-757-2818",""
"上鶴間","ECCジュニア上鶴間教室","サービス業","英語英会話教室","上鶴間4-13-13","042-854-8805","お友達とご入会いただいた方、またはご紹介いただい
た方は、
入学金を半額免除"
