"区域","事業所（店舗等）名","事業種別
事業内容","","事業所所在地","電話番号","PR・オトク情報"
"中野","あぐりんずつくい","小売業","地元農家の皆さんの朝採れ新鮮野菜が並ぶ農畜産
物直売所です。","中野625-1","042-850-4183",""
"","アマリ Family salon","サービス業","ヘアカット","中野1340-7","042-784-0233",""
"","荒井珠算塾","サービス業","珠算指導","中野473-9","042-784-0667",""
"","（株）池田管工事","その他","空調換気設備・給排水衛生設備・水道施設工事","中野148","042-784-3361",""
"","（有）江島商店","小売業","酒類・食料品販売","中野570","042-784-0077",""
"","榎本商店","小売業","","中野1331-2","042-784-0032",""
"","大塚産業（株）ENEOSフレンドリーセルフ88","小売業","ガソリンスタンド、タイヤ販売","中野239","042-784-0681",""
"","カシェット","小売業/飲食業","地場野菜や果物などを使用した、パンや焼き菓子を
作っています。
相模原市推し土産のマシュマロクッキーも製造販売し
ています。","中野452-7","090-9394-6922",""
"","カットスタジオコミヤ","サービス業","理髪
カット
シャンプー
顔剃り
パーマ","中野1018-1","042-784-4304",""
"","（有）苅辺商店","小売業","お米、灯油、エルピーガスの販売","中野1343","042-784-0028",""
"","久米自動車（株）","サービス業","スズキの新車販売やお車の修理・車検整備・鈑金修
理・自動車保険など、お車のトータルサービスのお店
です。","中野1768-1","042-784-0685",""
"","コマツヤ","小売業/飲食業","化粧品　雑貨販売","中野557","042-784-0167","サンプルプレゼント"
"","さくらや化粧品","小売業","化粧品 販売","中野300-2","042-747-1610",""
"","さやまや","小売業","中学校体操着等","中野1045","046-255-5827",""
"","司法書士くりはら事務所","その他","相続・遺言・成年後見申立等のご相談について、お気
軽にお問い合わせください。","中野６３４番地４　メゾンフルール１０１","042-813-7559",""
"","清水酒店","小売業","清酒の販売","中野1322","042-784-0010",""
"","盛興苑（セイコウエン）","飲食業","中国料理","中野1348-1","042-780-1568","本場のおいしい中国料理をどうぞ！！"
"","セブンイレブン津久井中野店","小売業","コンビニエンスストア","中野1774-3","042-784-6860",""
"","髙城畳店","小売業/サービス
業/その他","畳の表替えや裏返しや新床畳の入れ替えなど畳工事
全般を提供している畳店です。","中野538","042-784-0081","お見積り無料、説明から施工、アフターフォローまでお
客様に安心して頂けるよう心がけております。"
"","中華レストランはつみ","飲食業","一般食堂(定食・麺類等)","中野1772","042-784-2127",""
"","（有）津久井自動車","小売業/サービス
業","新車、中古車販売、車検整備、修理、保険業務、自動
車に関することならなんでもおまかせ","中野243","042-784-0005","ご利用いただいた方には粗品をプレゼントいたします"
"","（有）西村電気","小売業","電化製品販売、電気工事、修理","中野1023","042-784-0108",""
"","（有）西山電気","小売業","一般家電品販売","中野1918-1","042-784-0252",""
"","花つくいIWASAWA","小売業","生花、花束、アレンジメント、装花製作販売","中野553-1","042-784-0076","地元で信頼されているお店です。"
"","美容室キネヤ","サービス業","美容業","中野614-4","042-784-4888",""
"","平本理容店","サービス業","メンズヘアサロンです","中野552","042-784-0574","３９キャンペーン広告を見た　と言って頂いた方に　炭
酸SPA サービス致します"
"","福まつ","飲食業","寿司 割烹を中心とした創作和食店です","中野937-14","042-780-1752",""
"","（株）冨士商会","サービス業","自動車整備","中野571","042-784-0359",""
"","ふとんショップえぐち","小売業","寝具販売","中野269-8","042-784-9123","羽毛ふとん、木綿ふとんリフォーム承りました"
"","みやび亭 八百辰","飲食業","寿司、うなぎ、日本料理など津久井湖で営んでおりま
す。","中野977-1","042-784-1835","月曜日から木曜日平日ランチ、食後のコーヒーサービ
ス。金曜日はデザートサービスです。"
"","森八木洋品店","小売業","婦人服洋品小売","中野993-1","042-784-0168",""
